#Label,X/Easting,Y/Northing,Z/Altitude,X_est,Y_est,Z_est
TIN - KhorramAbad - 14020519 -000001.JPG,240964.9484,3707592.154,1419.923,240963.3504,3707589.278,1378.746714
TIN - KhorramAbad - 14020519 -000002.JPG,240919.3636,3707594.1,1420.423,240916.1564,3707591.108,1378.389364
TIN - KhorramAbad - 14020519 -000003.JPG,240908.587,3707594.229,1420.423,240906.8275,3707591.275,1378.288998
TIN - KhorramAbad - 14020519 -000004.JPG,240886.9961,3707594.818,1420.323,240879.1543,3707591.673,1378.141717
TIN - KhorramAbad - 14020519 -000005.JPG,240875.1037,3707594.194,1420.123,240872.9134,3707590.061,1378.379232
TIN - KhorramAbad - 14020519 -000006.JPG,240877.494,3707545.632,1420.123,240880.1671,3707542.21,1378.974696
TIN - KhorramAbad - 14020519 -000007.JPG,240896.085,3707546.005,1420.223,240903.758,3707543.216,1379.250736
TIN - KhorramAbad - 14020519 -000008.JPG,240960.1879,3707545.168,1420.323,240959.128,3707542.45,1379.378519
TIN - KhorramAbad - 14020519 -000009.JPG,240981.9074,3707544.363,1420.323,240986.4405,3707541.476,1379.457313
TIN - KhorramAbad - 14020519 -000010.JPG,241014.2343,3707543.473,1420.223,241013.2459,3707540.76,1379.45632
TIN - KhorramAbad - 14020519 -000011.JPG,241035.7727,3707542.852,1420.323,241040.0107,3707540.014,1379.430296
TIN - KhorramAbad - 14020519 -000012.JPG,241068.1818,3707541.852,1420.323,241067.2096,3707539.241,1379.387678
TIN - KhorramAbad - 14020519 -000013.JPG,241089.8167,3707541.262,1420.323,241094.1455,3707538.493,1379.389278
TIN - KhorramAbad - 14020519 -000014.JPG,241122.2543,3707540.36,1420.323,241121.1579,3707537.754,1379.431396
TIN - KhorramAbad - 14020519 -000015.JPG,241143.9311,3707539.695,1420.323,241148.3054,3707536.919,1379.477253
TIN - KhorramAbad - 14020519 -000016.JPG,241176.3275,3707538.801,1420.323,241175.1542,3707536.205,1379.449676
TIN - KhorramAbad - 14020519 -000017.JPG,241197.8627,3707538.251,1420.423,241202.2744,3707535.522,1379.359913
TIN - KhorramAbad - 14020519 -000018.JPG,241230.3183,3707537.346,1420.423,241229.1427,3707534.807,1379.306544
TIN - KhorramAbad - 14020519 -000019.JPG,241251.8864,3707536.774,1420.323,241255.8932,3707534.118,1379.262327
TIN - KhorramAbad - 14020519 -000020.JPG,241284.2822,3707535.856,1420.323,241282.9375,3707533.362,1379.282444
TIN - KhorramAbad - 14020519 -000021.JPG,241306.0011,3707535.221,1420.323,241310.0082,3707532.624,1379.397416
TIN - KhorramAbad - 14020519 -000022.JPG,241338.3689,3707534.414,1420.323,241337.1549,3707531.959,1379.454571
TIN - KhorramAbad - 14020519 -000023.JPG,241360.0462,3707533.867,1420.323,241364.1423,3707531.301,1379.53032
TIN - KhorramAbad - 14020519 -000024.JPG,241392.5295,3707532.937,1420.323,241391.0992,3707530.489,1379.658616
TIN - KhorramAbad - 14020519 -000025.JPG,241414.1956,3707532.455,1420.323,241418.0205,3707529.953,1379.732425
TIN - KhorramAbad - 14020519 -000026.JPG,241446.5988,3707531.716,1420.423,241444.9978,3707529.327,1379.718278
TIN - KhorramAbad - 14020519 -000027.JPG,241468.2596,3707531.231,1420.323,241472.1961,3707528.667,1379.519035
TIN - KhorramAbad - 14020519 -000028.JPG,241499.9142,3707530.327,1420.523,241498.8422,3707527.903,1379.297961
TIN - KhorramAbad - 14020519 -000029.JPG,241522.1043,3707529.34,1420.323,241526.1953,3707526.741,1379.392908
TIN - KhorramAbad - 14020519 -000030.JPG,241554.3172,3707528.446,1420.123,241553.501,3707526.089,1379.589654
TIN - KhorramAbad - 14020519 -000031.JPG,241562.2549,3707528.153,1420.123,241564.2246,3707524.875,1379.810179
TIN - KhorramAbad - 14020519 -000032.JPG,241609.6959,3707479.559,1420.323,241604.5039,3707477.339,1379.756821
TIN - KhorramAbad - 14020519 -000033.JPG,241580.033,3707480.928,1420.523,241578.8431,3707478.267,1379.57603
TIN - KhorramAbad - 14020519 -000034.JPG,241559.6701,3707481.257,1420.623,241550.9864,3707478.557,1379.018602
